n_neighbors,n_components,total_clusters,total_outliers,min_cluster_size,max_cluster_size,avg_cluster_size,sil_ex,sil_in,cal_ex,cal_in,div_score,c_v_score,u_mass_score,uci_score,npmi_score
5,5,10,0,21,73,50.3,0.032171108282724674,0.032171108282724674,13.27713788657211,13.27713788657211,0.4444444444444444,0.6693982270209227,-0.5901828389936723,-2.4014292004120805,0.02028587996566509
5,10,10,0,10,73,50.3,0.03067636362580156,0.03067636362580156,13.023688975029744,13.023688975029744,0.43333333333333335,0.6936829800358837,-0.5346269091797133,-2.1189795484207212,0.030485429004641143
5,15,10,0,10,77,50.3,0.029553220478138954,0.029553220478138954,12.79521498507197,12.79521498507197,0.4111111111111111,0.6759450541273365,-0.5004488388435783,-2.560961032223404,0.008241937176892492
5,20,10,0,6,96,50.3,0.03710171236215588,0.03710171236215588,13.125132332563002,13.125132332563002,0.4444444444444444,0.6738939841214305,-0.6745741064966206,-2.3724513864750887,0.018176691879669055
5,25,10,0,15,93,50.3,0.03494485314740191,0.03494485314740191,13.576154926358623,13.576154926358623,0.4888888888888889,0.6671434687140396,-0.7857600925389454,-2.4000979079494194,0.018112029834202476
5,30,10,0,27,94,50.3,0.030400349118192005,0.030400349118192005,12.159391581938182,12.159391581938182,0.4666666666666667,0.6842209233724792,-0.6879310698888592,-2.169839052703578,0.025833169556560582
5,35,10,0,8,86,50.3,0.03716964911193624,0.03716964911193624,13.356079252049803,13.356079252049803,0.43333333333333335,0.6661071623270902,-0.5855565025763984,-2.4855537607019027,0.015579175257272596
5,40,10,0,16,84,50.3,0.034822447913329654,0.034822447913329654,13.316337531751389,13.316337531751389,0.4666666666666667,0.6657742860710224,-0.7419951473628551,-2.424686462396034,0.0189392189165168
5,45,10,0,21,69,50.3,0.03532854874553052,0.03532854874553052,13.43216551442575,13.43216551442575,0.43333333333333335,0.648180092641624,-0.653118657653006,-3.0915917265416546,-0.016419098288499214
5,50,10,0,15,77,50.3,0.0287068695458754,0.0287068695458754,12.807270578886804,12.807270578886804,0.43333333333333335,0.6995687936329712,-0.6106254452029604,-1.571622577925937,0.053977649571059876
5,55,10,0,8,69,50.3,0.03402018758957333,0.03402018758957333,13.372577609136217,13.372577609136217,0.45555555555555555,0.6703524130144465,-0.7231727410514639,-2.447885200468451,0.011666133860525863
5,60,10,0,19,85,50.3,0.03359655037016608,0.03359655037016608,13.073094857580557,13.073094857580557,0.4,0.6909417661875301,-0.6398319736999262,-2.140997637177103,0.0258092283533662
5,65,10,0,26,76,50.3,0.029602444001091553,0.029602444001091553,12.84062599201883,12.84062599201883,0.43333333333333335,0.6757545902120656,-0.6900384488207288,-2.1256081954951367,0.028451212089369755
5,70,10,0,24,80,50.3,0.03263644540346153,0.03263644540346153,13.095267556484501,13.095267556484501,0.4777777777777778,0.6631350263209601,-0.9050208268877868,-2.6046908768170147,0.016773418698254616
5,75,10,0,17,70,50.3,0.028319139938806588,0.028319139938806588,13.170896882953224,13.170896882953224,0.45555555555555555,0.6463592038696766,-0.5979189507751984,-3.031972493721769,-0.007520619957610081
5,80,10,0,10,70,50.3,0.03364693695666849,0.03364693695666849,13.562103637088418,13.562103637088418,0.4444444444444444,0.6639302825771892,-0.5738490074603081,-2.9344302815217054,-0.0032819794093020102
10,5,10,0,18,71,50.3,0.03839217395695719,0.03839217395695719,14.357360724187403,14.357360724187403,0.45555555555555555,0.6947839015706345,-0.6464792523189606,-2.308557766438847,0.020612751983041983
10,10,10,0,25,74,50.3,0.03646844721408372,0.03646844721408372,14.199151080246718,14.199151080246718,0.4444444444444444,0.657207407445036,-0.5317811616108395,-2.859364373901938,-0.0030353126522036536
10,15,10,0,24,69,50.3,0.03508792393361672,0.03508792393361672,14.257191148967346,14.257191148967346,0.4444444444444444,0.668608360106237,-0.5917040990647159,-2.7223744412942366,0.006499974074925442
10,20,10,0,23,73,50.3,0.03997540568019524,0.03997540568019524,14.558016933723655,14.558016933723655,0.45555555555555555,0.6867153894306328,-0.5843390773245679,-2.714158454364235,0.016260456013422395
10,25,10,0,23,72,50.3,0.03467933410685595,0.03467933410685595,14.142292781835646,14.142292781835646,0.43333333333333335,0.6613516467950517,-0.5655135190364611,-2.8357091176035976,-0.0035945548648174306
10,30,10,0,23,73,50.3,0.030948713863533543,0.030948713863533543,13.87539120244115,13.87539120244115,0.45555555555555555,0.6820568130039883,-0.5178306876761213,-2.4869314862913114,0.018890319533794168
10,35,10,0,15,113,50.3,0.042634555877149385,0.042634555877149385,14.431237405639246,14.431237405639246,0.45555555555555555,0.6886049936361583,-0.6813264214096298,-2.3601881137872933,0.027504196804987332
10,40,10,0,23,80,50.3,0.03266702916272828,0.03266702916272828,13.765631117558565,13.765631117558565,0.45555555555555555,0.6805280501405622,-0.7694401941256981,-2.4246208540191674,0.017491066132154995
10,45,10,0,23,78,50.3,0.030588709308317055,0.030588709308317055,13.325322464275493,13.325322464275493,0.43333333333333335,0.6701428287349109,-0.5228740550977798,-2.8176188680954812,0.007684844999326695
10,50,10,0,23,73,50.3,0.03730921032409054,0.03730921032409054,14.015225647431375,14.015225647431375,0.4444444444444444,0.6564152091400964,-0.7478728177062872,-2.5608068327778852,0.008947316802018603
10,55,10,0,21,73,50.3,0.0395448582362941,0.0395448582362941,14.515618892484659,14.515618892484659,0.45555555555555555,0.698461747421275,-0.6381239782987689,-2.13810934405631,0.030890872704088065
10,60,10,0,17,74,50.3,0.039425093968144705,0.039425093968144705,14.068121446736747,14.068121446736747,0.4444444444444444,0.6737889703461432,-0.7483744784342001,-2.3632431410859365,0.022006589448529935
10,65,10,0,7,74,50.3,0.035470865841669974,0.035470865841669974,13.752265237057122,13.752265237057122,0.43333333333333335,0.6658002686867106,-0.5406044117754394,-2.857029598615359,-0.0025865849532582873
10,70,10,0,23,78,50.3,0.03697577850915966,0.03697577850915966,13.747283198834115,13.747283198834115,0.4444444444444444,0.609428536649419,-0.7422255085647116,-3.47201205498242,-0.02956233376892044
10,75,10,0,22,72,50.3,0.03952733545452329,0.03952733545452329,14.197075409320123,14.197075409320123,0.4666666666666667,0.6606880486864668,-0.7203400266607336,-2.2924132377759863,0.017104138597148037
10,80,10,0,23,82,50.3,0.03147223167032113,0.03147223167032113,13.588111381933341,13.588111381933341,0.45555555555555555,0.6604679189234461,-0.7616353076975183,-2.5806867413851453,0.008243085527419203
15,5,10,0,26,77,50.3,0.039490240664600745,0.039490240664600745,14.586754902151146,14.586754902151146,0.4444444444444444,0.7253148424237615,-0.5100614927133353,-1.7203673686807262,0.048028914109767194
15,10,10,0,23,77,50.3,0.039196114550217015,0.039196114550217015,14.406849560089137,14.406849560089137,0.4777777777777778,0.6963207496149427,-0.6634453797605028,-1.9927252990571225,0.024132886505228317
15,15,10,0,27,77,50.3,0.03811138929276282,0.03811138929276282,14.462446791564176,14.462446791564176,0.4444444444444444,0.6987923473604586,-0.50726765819648,-2.246617431162526,0.020674306733110784
15,20,10,0,23,89,50.3,0.03550578923095807,0.03550578923095807,14.00006042611765,14.00006042611765,0.45555555555555555,0.6624702397169661,-0.5147913858167752,-2.4109412570297097,0.011452415593158996
15,25,10,0,23,84,50.3,0.042632650035333314,0.042632650035333314,14.567150933006932,14.567150933006932,0.45555555555555555,0.691088380527454,-0.6456872401062549,-2.194875305407627,0.031795114583865164
15,30,10,0,26,77,50.3,0.04028229625290863,0.04028229625290863,14.64359008789407,14.64359008789407,0.4666666666666667,0.6833030548848009,-0.6218277546941181,-2.1959921928797765,0.022795443882374738
15,35,10,0,27,75,50.3,0.036091460888547436,0.036091460888547436,14.568722952691072,14.568722952691072,0.4222222222222222,0.7131535048385038,-0.47314192465829574,-2.225390488977771,0.02780530027241014
15,40,10,0,22,69,50.3,0.04030128321866756,0.04030128321866756,14.45843004910375,14.45843004910375,0.45555555555555555,0.7124820265037548,-0.6883735496972925,-1.7405196706671426,0.04563600860739194
15,45,10,0,23,76,50.3,0.0361742247593781,0.0361742247593781,14.348895255873485,14.348895255873485,0.43333333333333335,0.6765810617029359,-0.6028685436353781,-2.5597161737916134,0.009658609771586807
15,50,10,0,23,77,50.3,0.041380760750682824,0.041380760750682824,14.737632684371917,14.737632684371917,0.4666666666666667,0.6872861048456304,-0.6061862660519391,-2.078181983396827,0.027388936960283296
15,55,10,0,23,77,50.3,0.042610446471743335,0.042610446471743335,14.832800947472906,14.832800947472906,0.45555555555555555,0.7230872362389837,-0.5734586992187523,-1.7694282114618873,0.047555870099742915
15,60,10,0,23,77,50.3,0.037742447421101576,0.037742447421101576,14.147737814148714,14.147737814148714,0.4222222222222222,0.6783581791638298,-0.5773046093425982,-2.414433483083394,0.009555873555090485
15,65,10,0,17,77,50.3,0.040954825287184866,0.040954825287184866,14.612619140690509,14.612619140690509,0.4444444444444444,0.7325048539042354,-0.6369583219575341,-1.5739175184049072,0.05118511934923944
15,70,10,0,23,76,50.3,0.038931663947080704,0.038931663947080704,14.150740049913033,14.150740049913033,0.4222222222222222,0.687183478722702,-0.43064426392653243,-2.3827053193844216,0.011859495227847803
15,75,10,0,23,77,50.3,0.04116128761941211,0.04116128761941211,14.731737395255971,14.731737395255971,0.4444444444444444,0.7227747438696597,-0.5258423064788843,-1.627185505895981,0.0490105257575022
15,80,10,0,21,77,50.3,0.04115312403187121,0.04115312403187121,14.751786672059573,14.751786672059573,0.4666666666666667,0.7226042736959654,-0.6559709628923819,-1.2435609466989253,0.06075173668332528
20,5,10,0,23,70,50.3,0.04391003150395151,0.04391003150395151,15.029421810486568,15.029421810486568,0.45555555555555555,0.7141470243673509,-0.517643208881022,-1.8077444042645194,0.04602569083333169
20,10,10,0,23,77,50.3,0.0337236864555691,0.0337236864555691,14.121604178522459,14.121604178522459,0.45555555555555555,0.7275836108276539,-0.4926278602192127,-1.7385432942184968,0.0477162151219146
20,15,10,0,12,83,50.3,0.041392138818451614,0.041392138818451614,14.433862893051163,14.433862893051163,0.4666666666666667,0.6875021657381799,-0.6899554608222501,-2.068705712995602,0.02877083779932751
20,20,10,0,23,74,50.3,0.043229484026417124,0.043229484026417124,14.989697863447411,14.989697863447411,0.4222222222222222,0.7144772090847256,-0.5761970016342425,-1.8951290217986763,0.04233622755166431
20,25,10,0,22,67,50.3,0.03914863015628326,0.03914863015628326,14.27914872469843,14.27914872469843,0.4444444444444444,0.6875582657784353,-0.5761737008646319,-2.097848405749865,0.028269017229641535
20,30,10,0,22,77,50.3,0.042298871552644904,0.042298871552644904,14.795814822278746,14.795814822278746,0.45555555555555555,0.7029564122074285,-0.6159565240581809,-2.2819935139094785,0.03035163772159263
20,35,10,0,23,77,50.3,0.0426678890557192,0.0426678890557192,14.85314663443465,14.85314663443465,0.43333333333333335,0.7294107681342624,-0.49579400493816056,-1.788631425870973,0.051552337914830784
20,40,10,0,27,70,50.3,0.03921199880782991,0.03921199880782991,14.860801691937215,14.860801691937215,0.4111111111111111,0.7060304842415457,-0.45310565108434336,-2.2781856610320905,0.02519526537666717
20,45,10,0,23,73,50.3,0.041789022865552,0.041789022865552,14.87854618589002,14.87854618589002,0.43333333333333335,0.7227213112642936,-0.5342711770988141,-1.8440904499250368,0.047016702320480386
20,50,10,0,17,66,50.3,0.04188261891214307,0.04188261891214307,14.777205422594148,14.777205422594148,0.45555555555555555,0.7272727073086535,-0.629497187947109,-1.194716722163921,0.062197959633619786
20,55,10,0,20,72,50.3,0.04052552584417568,0.04052552584417568,14.77780587256004,14.77780587256004,0.4444444444444444,0.7295346304979071,-0.6965323428964703,-1.5992399382594022,0.04949507103745367
20,60,10,0,23,76,50.3,0.041467680120892914,0.041467680120892914,14.85878713302967,14.85878713302967,0.4444444444444444,0.7194207519705439,-0.5123979659962794,-1.8237742278223186,0.0501861744317221
20,65,10,0,18,67,50.3,0.04249495600951112,0.04249495600951112,14.767937778327655,14.767937778327655,0.43333333333333335,0.6782800581830752,-0.603470431659127,-2.6905972475063953,0.009587089519294656
20,70,10,0,23,75,50.3,0.041397939605936795,0.041397939605936795,14.82194209824129,14.82194209824129,0.4444444444444444,0.713962131549387,-0.6033868497765779,-1.8605973031646,0.04646287654664823
20,75,10,0,22,77,50.3,0.03496111881928325,0.03496111881928325,14.23301190931164,14.23301190931164,0.4666666666666667,0.7055586554640708,-0.5048398208879522,-1.8354275263746755,0.03867741153887411
20,80,10,0,22,72,50.3,0.036400456082326525,0.036400456082326525,14.497136738182192,14.497136738182192,0.4444444444444444,0.6824286906307122,-0.5369034913448494,-2.3448795131493063,0.018897061139111788
25,5,10,0,22,72,50.3,0.04569766182069305,0.04569766182069305,14.913388153177205,14.913388153177205,0.4666666666666667,0.686805883681133,-0.8420649848368997,-1.6055160883761463,0.041557269604176626
25,10,10,0,25,108,50.3,0.04818379041204782,0.04818379041204782,15.108857311255523,15.108857311255523,0.4666666666666667,0.6799471944534061,-0.7882774263841693,-1.9741964094642723,0.03348878723010608
25,15,10,0,23,70,50.3,0.04477615206298985,0.04477615206298985,15.140407267648788,15.140407267648788,0.4444444444444444,0.7025262545751096,-0.5087723740253821,-1.9892163328036483,0.038925075486253555
25,20,10,0,22,70,50.3,0.03777633860490934,0.03777633860490934,14.596785740361023,14.596785740361023,0.43333333333333335,0.6885162539506806,-0.4786359621232804,-2.3500406558073865,0.020214172004569885
25,25,10,0,24,70,50.3,0.04225467011547231,0.04225467011547231,15.053553686189394,15.053553686189394,0.4666666666666667,0.7019352502686275,-0.5651473316588786,-1.9496021778453985,0.03939081901732984
25,30,10,0,23,76,50.3,0.035046489143140416,0.035046489143140416,14.629213390117773,14.629213390117773,0.45555555555555555,0.7013682803835422,-0.577141147343962,-1.9290835997718006,0.03769564238096373
25,35,10,0,23,69,50.3,0.04512317892121982,0.04512317892121982,15.081677161553387,15.081677161553387,0.4666666666666667,0.711155502565975,-0.5773968496128018,-1.8081035817705766,0.04483889780078171
25,40,10,0,16,100,50.3,0.046531085499140756,0.046531085499140756,14.769028205745698,14.769028205745698,0.4666666666666667,0.7313544076186214,-0.7517689096598984,-1.4094603145189817,0.060243892579247796
25,45,10,0,11,70,50.3,0.03866788791508749,0.03866788791508749,14.457708026118508,14.457708026118508,0.4444444444444444,0.7051838249473622,-0.5314293300960125,-1.6283882295626844,0.04392757629477198
25,50,10,0,22,70,50.3,0.04397195265744295,0.04397195265744295,14.973714595374354,14.973714595374354,0.4666666666666667,0.6906545707961338,-0.5662743200573582,-2.030411407286665,0.02878267575268738
25,55,10,0,22,73,50.3,0.043954954555231546,0.043954954555231546,15.050083698132617,15.050083698132617,0.4444444444444444,0.7433748795860677,-0.5356896429429548,-1.2989562647128703,0.07038943341040545
25,60,10,0,23,70,50.3,0.04174269811566118,0.04174269811566118,14.93941699676323,14.93941699676323,0.45555555555555555,0.7205558281282498,-0.604536119594409,-1.7955764852155598,0.04785413096039662
25,65,10,0,28,67,50.3,0.04352921135147307,0.04352921135147307,14.994811770306342,14.994811770306342,0.4666666666666667,0.6999984908973552,-0.5745279417494249,-1.9526172766292176,0.03921428506496174
25,70,10,0,22,114,50.3,0.04288262508684966,0.04288262508684966,14.983449154742594,14.983449154742594,0.45555555555555555,0.7052115425088977,-1.0453105619999545,-1.6829407279103663,0.04420428510471423
25,75,10,0,23,71,50.3,0.04430594723931316,0.04430594723931316,15.095835093390061,15.095835093390061,0.4666666666666667,0.7033830956320798,-0.6251566203273982,-1.8330815818830557,0.041310131415676535
25,80,10,0,22,70,50.3,0.04243472459722548,0.04243472459722548,14.949508317372812,14.949508317372812,0.45555555555555555,0.7188474370798659,-0.5590298527101729,-1.7972840248936848,0.04887772113743072
30,5,10,0,23,70,50.3,0.043950278549519294,0.043950278549519294,15.132664054984824,15.132664054984824,0.4666666666666667,0.6936710276806272,-0.5475130683302142,-1.9700950920303866,0.034637257646160796
30,10,10,0,12,71,50.3,0.04586149703079788,0.04586149703079788,14.834646735575204,14.834646735575204,0.4666666666666667,0.706878789994423,-0.7671915847851448,-1.8322416260333914,0.04250119815344963
30,15,10,0,26,85,50.3,0.03941232694443572,0.03941232694443572,14.461844565796511,14.461844565796511,0.4444444444444444,0.6732938424977246,-0.8239999734042536,-2.538190062468152,0.015126169735760146
30,20,10,0,23,73,50.3,0.03694055880767079,0.03694055880767079,14.54243233729032,14.54243233729032,0.4888888888888889,0.717075290376964,-0.5618433419051857,-1.7218300867257794,0.0462461640065625
