n_components,total_clusters,total_outliers,min_cluster_size,max_cluster_size,avg_cluster_size,sil_ex,sil_in,cal_ex,cal_in,div_score,c_v_score,u_mass_score,uci_score,npmi_score
7,10,7,0,32,132,71.85714285714286,0.04098420372283842,0.04098420372283842,18.276999278846134,18.276999278846134,0.48333333333333334,0.6438591164111787,-0.41054562191341654,-2.8411169763037507,-0.01189845355077694
7,20,7,0,32,141,71.85714285714286,0.040803682306301346,0.040803682306301346,18.348755497672744,18.348755497672744,0.48333333333333334,0.6423016408900598,-0.46148684041494326,-2.8014061083225457,-0.003824913203978745
7,30,7,0,39,103,71.85714285714286,0.044270135734197066,0.044270135734197066,19.405546453948777,19.405546453948777,0.48333333333333334,0.6712614115658541,-0.3370646144145469,-3.4037843934333942,-0.014712140041754586
7,40,7,0,24,129,71.85714285714286,0.05017327962657714,0.05017327962657714,19.418878432640636,19.418878432640636,0.43333333333333335,0.7389980037277518,-0.37162806586378955,-1.8421636371051908,0.04053574306843642
7,50,7,0,26,132,71.85714285714286,0.05147865450913072,0.05147865450913072,18.957340274171965,18.957340274171965,0.4166666666666667,0.690467308902904,-0.3048995044028703,-3.437677127884042,-0.01891809586269892
7,60,7,0,23,119,71.85714285714286,0.0477092959292981,0.0477092959292981,19.412370117931335,19.412370117931335,0.43333333333333335,0.7258882903563241,-0.3998564319716489,-2.383072901824252,0.03004977911721805
7,70,7,0,28,120,71.85714285714286,0.049496591927723384,0.049496591927723384,19.3560238685379,19.3560238685379,0.4666666666666667,0.7116752777231868,-0.3987444049380848,-2.4634697391005127,0.024937539821241986
7,80,7,0,39,118,71.85714285714286,0.041115963460558395,0.041115963460558395,18.645601082783422,18.645601082783422,0.55,0.6990494104367379,-0.41790084578462355,-2.4409064116781893,0.031726107497264754
7,90,7,0,25,108,71.85714285714286,0.044332959772507806,0.044332959772507806,19.01362325854139,19.01362325854139,0.45,0.6778505109968638,-0.38815063203814953,-2.927896699025919,-0.0029487556264866446
7,100,7,0,21,102,71.85714285714286,0.03909176525024392,0.03909176525024392,18.082870854264016,18.082870854264016,0.45,0.7410522598470406,-0.32107514181748825,-1.9339528074459558,0.04553122409012262
