SN,mode,embedder,dim_red,clus,n_clusters,n_neighbors,n_components,labels,probs
1,SEP,SBERT,UMAP,HDBSCAN,,15.0,20,"[0, 0, 8, 13, 25, 0, 0, 0, 0, 0, -1, 44, 0, -1, 0, 13, 0, 44, 0, 0, 0, 0, 13, 13, 0, -1, 0, 13, 13, 3, 25, 24, 0, 0, 13, -1, 0, -1, 25, 0, 0, 1, 0, 1, 0, 0, 0, 45, 0, 40, 25, 0, 0, 6, 0, -1, -1, 25, 0, 0, 0, 0, 25, 13, 2, 0, 2, 0, 2, 2, 0, 9, 9, 29, 29, 29, 1, 17, 17, 17, 17, 9, 29, 17, 29, 8, 2, 2, 19, 0, 2, 2, 2, 2, 2, 2, 8, 42, 42, 19, 7, 7, 7, 7, 7, 18, -1, 18, 18, -1, -1, 18, 1, 11, 7, 0, 11, 11, 42, 7, 14, 14, 11, 45, 11, 1, 23, 6, 1, 3, -1, 15, 15, 17, 17, -1, 10, 38, 14, 24, 4, 38, 5, 37, 37, -1, 8, 3, -1, 47, 6, 6, 1, 19, 19, 8, 1, 1, 1, 1, 1, 11, 24, -1, 1, 1, 24, 30, 14, 14, 0, -1, 24, 6, 4, 4, 5, 5, 5, 3, 3, 10, 1, 5, 4, 10, 1, 41, 41, 5, 8, -1, 11, 45, 0, -1, -1, 2, 2, 26, 8, 37, 49, 2, -1, 8, 4, 5, 28, -1, 1, 4, 15, 21, 4, 6, 5, 0, 2, 19, 52, 6, 11, 8, 14, 30, -1, 2, 1, 1, -1, 8, 2, 1, 2, 39, -1, -1, 9, 7, 23, 1, 3, -1, 4, 30, 9, 48, 14, -1, -1, 47, -1, 15, 15, -1, 6, 6, 44, -1, -1, 1, 5, 1, 5, -1, -1, 2, 5, -1, 23, 23, 5, 5, 5, 5, -1, -1, 6, -1, 52, 2, 39, 3, 3, 39, 9, 37, 6, 43, -1, 1, 3, 3, 2, 52, 30, -1, 0, 42, 1, 30, 19, 3, 39, 21, 21, 48, 4, 21, -1, 22, 10, 38, 48, 12, 6, -1, -1, 35, 35, -1, -1, 41, -1, 23, 35, 12, 22, -1, 28, 12, 1, 12, -1, 21, 10, 12, 12, 28, 10, 22, 4, 22, -1, -1, -1, 28, 22, 12, 22, 1, 12, 41, 38, 5, 4, 4, 24, 21, 51, 51, 4, 49, 49, 4, 10, 4, 35, 43, 50, 50, 50, -1, 15, 43, 4, 4, 4, 15, 28, 1, 10, 4, 3, 6, 32, 1, -1, 27, 31, 7, 16, 26, 26, -1, -1, 16, 16, 8, 47, 53, 16, 40, 10, -1, -1, 7, 7, 18, 18, -1, 20, 40, -1, 16, 46, 34, -1, -1, 33, 20, 36, 20, 16, 33, 20, 27, 33, 34, 16, 26, 36, 23, -1, -1, 9, 1, 27, -1, 20, 2, -1, -1, 31, 46, 7, 9, -1, 53, -1, 3, 3, 3, 3, 3, 3, 26, 20, 26, 27, 40, 1, -1, -1, 9, -1, -1, 27, 34, -1, 31, 36, 33, -1, -1, 32, 9, 32, 32, 46, -1, 1, -1, 31, -1, 31, -1, 0, 36, 34, 1, -1, 3, 54, 3, -1, -1, 54, 51, -1, 3, 2]","[1.         1.         0.67979871 0.93764872 0.97481129 1.
 1.         1.         1.         1.         0.         1.
 1.         0.         1.         0.71434927 0.78624514 1.
 1.         1.         1.         1.         1.         0.60657166
 1.         0.         1.         0.69814969 1.         0.41109054
 0.50764843 0.86173486 1.         1.         0.93764872 0.
 0.78624514 0.         0.73344968 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.44740427 1.         1.         0.84450105
 1.         0.         0.         1.         1.         1.
 1.         1.         1.         1.         0.96577377 1.
 1.         1.         1.         1.         0.7410893  0.8059283
 0.70799948 0.96979996 1.         1.         1.         1.
 1.         0.71659863 0.38159163 0.75922212 0.88969961 0.42956642
 0.66577684 0.78448074 0.71229501 0.92844343 0.82744882 1.
 0.71229501 0.63890899 0.42266581 1.         0.87777752 1.
 0.65549774 1.         0.60199643 0.909374   0.69122365 0.47068622
 0.49211    1.         0.41797398 0.30216326 0.         0.62551651
 0.30563823 0.         0.         1.         0.81394857 1.
 0.38525574 0.64632309 1.         0.71839269 0.60462613 0.42991703
 0.85670339 1.         1.         1.         1.         1.
 0.53460766 1.         1.         1.         0.         0.58875955
 0.58875955 0.50401975 1.         0.         0.48188866 1.
 0.30634755 0.73023728 0.7722037  1.         0.82122556 1.
 1.         0.         1.         1.         0.         1.
 1.         1.         1.         1.         0.97264846 0.65758112
 1.         1.         1.         1.         0.77679589 0.70088193
 1.         0.         1.         1.         1.         1.
 0.90363335 1.         0.35320565 0.         0.92712588 0.93736307
 1.         0.84991604 1.         0.67030775 0.83728141 0.85618794
 1.         0.45730829 1.         1.         1.         0.62879111
 1.         1.         1.         0.61297195 1.         0.
 0.96846517 1.         0.7269671  0.         0.         1.
 1.         0.83850958 0.80714325 1.         1.         1.
 0.         0.75154312 1.         0.57733587 0.92322671 0.
 1.         1.         0.86259289 0.8999708  1.         0.77855321
 1.         0.91931226 0.51110279 1.         1.         1.
 1.         0.81510877 0.30580873 0.60465129 0.         1.
 1.         1.         0.         0.80714325 1.         0.78190558
 1.         1.         0.         0.         1.         0.34794425
 1.         1.         1.         0.         1.         1.
 0.8059283  1.         0.78940466 0.         0.         1.
 0.         0.64878175 1.         0.         1.         1.
 1.         0.         0.         1.         1.         1.
 1.         0.         0.         0.92844343 1.         0.
 0.53460766 0.52900913 0.99231431 1.         1.         1.
 0.         0.         0.87884781 0.         1.         1.
 1.         0.76877057 1.         0.99110278 0.8534659  0.55050576
 1.         0.82401072 0.         0.73068848 0.51543862 0.69522055
 1.         1.         1.         0.         1.         1.
 1.         0.57256991 1.         0.54152049 0.85632698 1.
 0.85710126 0.81301989 1.         0.68163719 0.         1.
 0.89488527 0.89631035 1.         0.82025325 0.81455533 0.
 0.         1.         1.         0.         0.         1.
 0.         1.         1.         0.93967439 0.60804227 0.
 0.9621714  0.23202503 0.68461718 1.         0.         1.
 0.48686815 0.34227004 0.93754526 1.         0.59845463 1.
 1.         0.74411501 0.         0.         0.         1.
 1.         1.         0.51541282 1.         0.93967439 0.99965208
 0.86320475 0.61878715 1.         1.         0.92712588 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.29864602 1.         1.         1.
 1.         0.         0.58541786 1.         1.         1.
 1.         1.         0.99145428 1.         1.         1.
 0.92447979 1.         0.90117578 1.         0.         1.
 0.71110387 0.95693717 1.         0.77451006 1.         0.
 0.         0.84824914 1.         0.70395334 1.         1.
 0.75252639 0.81447686 0.5716353  0.         0.         1.
 0.63722994 1.         1.         0.         0.85012923 1.
 0.         0.72582446 0.98130938 0.9391292  0.         0.
 0.72008137 0.82971697 1.         0.82971697 1.         0.83777272
 1.         1.         1.         0.99891637 0.84824914 1.
 1.         1.         0.         0.         0.93639206 1.
 0.76283621 0.         1.         0.471979   0.         0.
 1.         1.         1.         0.8311934  0.         1.
 0.         1.         0.53386869 1.         1.         1.
 0.57044118 0.71033711 0.85012923 1.         0.78117794 1.
 0.96710528 0.         0.         1.         0.         0.
 0.91227548 1.         0.         0.635543   1.         1.
 0.         0.         1.         1.         1.         0.93163179
 1.         0.         0.89802074 0.         0.5465438  0.
 1.         0.         1.         0.90297616 1.         1.
 0.         1.         1.         1.         0.         0.
 1.         1.         0.         1.         0.471979  ]"
2,SEP,SBERT,UMAP,HDBSCAN,,15.0,60,"[0, 0, 17, 9, 19, 0, 0, 0, 0, 0, 23, 46, 0, 37, 0, 9, 0, 46, 0, 0, 0, 0, 9, 37, 0, 37, 0, 9, 9, -1, 19, -1, 0, 0, 9, 37, 0, -1, 19, 0, 0, 16, 0, 16, 0, 0, 0, 50, 0, 29, 19, 0, 0, 1, 0, -1, 9, 19, 0, 0, 0, 0, 19, 9, 4, 0, 4, 0, 4, 4, 0, 40, 40, 8, 8, 8, 6, 12, 12, 12, 12, 40, 8, 12, 8, 34, 4, 4, -1, 0, 4, 4, -1, 4, 4, 4, -1, 45, 45, 30, 11, 11, 11, 11, 15, 15, -1, 15, 15, -1, -1, 15, -1, 10, -1, 0, 10, 10, -1, -1, 22, 22, 10, 50, 10, 6, 1, 1, 6, 3, -1, 49, 49, 12, 12, -1, 42, 39, 22, 38, 5, 39, 7, 36, 36, 1, 34, 3, 1, 1, 1, 1, 16, 30, 30, 17, 35, 35, 35, 6, -1, 10, 38, -1, 6, 6, 38, 18, 22, 22, 0, -1, -1, 1, 5, 5, 7, 7, 7, 3, 3, 31, 6, 7, 5, 31, 6, -1, -1, 27, 34, -1, 10, -1, 0, 0, -1, 4, 4, 21, 17, 36, 44, 4, -1, 17, 5, 7, 14, 18, 6, 5, 24, -1, 5, 1, 7, 0, 4, 30, -1, 1, 10, 34, -1, 18, 23, 4, 43, 43, -1, 17, 4, 6, 4, 47, -1, -1, 8, -1, 1, 6, 3, 1, 5, 18, 40, 27, 22, 29, -1, 1, 1, 24, 24, 1, 1, 1, 46, -1, -1, 6, 7, 6, 7, -1, -1, 4, 7, -1, 1, 1, 7, 7, 7, 7, 1, -1, 1, 1, -1, 4, 47, 3, 3, -1, 8, 36, 1, -1, 1, -1, 3, 3, 4, 3, 18, 1, 0, 45, 35, 18, 30, 3, -1, 26, 26, 27, 5, 26, -1, 20, 42, 39, 27, 13, 1, -1, -1, 32, 32, -1, 14, -1, -1, 1, 32, 13, 20, 31, -1, 24, 6, 13, -1, 26, 31, 13, 13, 14, 31, 20, 5, 20, -1, 27, -1, 14, 20, 13, 20, 6, 13, -1, 39, 7, 5, 5, 38, 26, 33, 33, 5, 44, 44, 5, 42, 5, 32, 48, 14, 14, 14, -1, -1, 48, 5, 5, 5, 24, -1, 16, -1, 5, 3, 1, -1, 16, 2, 25, 2, 11, 2, 21, 21, 2, -1, 2, 2, 17, 1, 2, 2, 29, -1, -1, 2, 11, 11, 15, 15, -1, 28, 29, 2, 2, 41, 2, 1, 1, 2, -1, 23, -1, 2, 2, 28, 25, 2, 2, 2, 21, 23, 1, -1, -1, 8, 16, 25, -1, 28, -1, 2, 2, 2, 41, 11, -1, -1, 2, 2, 3, 3, 3, 3, 3, 3, 21, 28, 21, 25, 29, 16, -1, 2, 8, 41, 28, 25, 2, -1, 2, 23, 2, 2, -1, 51, 8, 51, -1, 41, -1, 6, -1, 2, -1, 2, 33, 0, 23, 2, 43, -1, 3, 2, 3, 1, -1, 2, 33, -1, 3, -1]","[1.         1.         0.96567397 0.73592366 0.38337834 1.
 1.         1.         1.         1.         0.62354477 1.
 1.         1.         1.         0.63776054 1.         1.
 1.         1.         1.         1.         0.9798381  1.
 1.         1.         0.99155157 0.74163311 1.         0.
 0.44006305 0.         1.         1.         0.73592366 0.80562451
 1.         0.         1.         1.         1.         1.
 1.         1.         1.         0.896884   1.         1.
 1.         1.         0.84584949 1.         1.         1.
 1.         0.         1.         1.         1.         1.
 0.92616311 1.         1.         0.97431001 1.         1.
 1.         1.         1.         1.         0.78368848 1.
 0.85942779 1.         1.         1.         1.         1.
 1.         0.20195409 0.2124384  0.99214283 1.         0.21073574
 0.95732108 0.85417954 1.         1.         0.         1.
 0.73831142 0.86534283 0.         1.         1.         1.
 0.         0.85113988 1.         0.89294534 0.85606076 1.
 1.         1.         0.30231604 0.54087723 0.         1.
 1.         0.         0.         1.         0.         1.
 0.         1.         0.63264736 0.39647838 0.         0.
 0.46900535 1.         0.63264736 1.         1.         1.
 1.         1.         1.         0.85928955 0.         1.
 1.         0.370721   1.         0.         0.93197825 1.
 0.40510695 0.80335258 1.         1.         0.84632785 1.
 1.         1.         1.         1.         0.62015479 1.
 1.         1.         0.75991771 1.         1.         0.92674008
 1.         1.         1.         1.         0.         0.57409528
 1.         0.         1.         1.         1.         0.84618966
 1.         1.         0.41025473 0.         0.         1.
 1.         0.78587423 1.         0.71321715 0.80165523 0.78710598
 1.         1.         1.         1.         1.         1.
 1.         0.         0.         0.84283679 1.         0.
 1.         0.         1.         0.46862255 0.         1.
 0.85023219 0.52726735 1.         1.         1.         1.
 0.         0.98095755 1.         0.62678791 0.9652345  0.71675447
 1.         1.         0.79674087 0.         0.91368467 1.
 1.         0.8484976  0.73556372 0.87368788 0.         1.
 0.70640564 0.75172167 0.         1.         0.60858245 1.
 1.         1.         0.         1.         1.         0.77302536
 0.92594421 1.         0.         0.         1.         0.
 1.         1.         0.74345401 0.68497113 1.         1.
 1.         1.         0.61214782 0.7429504  0.         1.
 1.         1.         1.         1.         1.         1.
 1.         0.         0.         1.         0.91158449 1.
 1.         0.         0.         1.         0.79772672 0.
 1.         1.         1.         0.91507671 1.         1.
 1.         0.         1.         1.         0.         1.
 1.         0.74345401 1.         0.         1.         0.64070938
 1.         0.         1.         0.         0.40013567 0.58064331
 1.         0.33535714 1.         0.91092915 1.         1.
 0.74938821 0.660536   0.87368788 0.40067203 0.         1.
 0.79731768 0.86364319 1.         0.91370777 0.         0.27889307
 1.         0.90609228 1.         1.         1.         0.
 0.         1.         1.         0.         0.92830848 0.
 0.         1.         0.98149993 1.         0.11879358 0.69332495
 0.         0.84520494 1.         1.         0.         1.
 0.71230428 1.         1.         1.         1.         1.
 1.         1.         0.         0.85358837 0.         1.
 1.         1.         0.15894099 1.         1.         0.
 0.97836486 0.58091997 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.98149993 1.         1.         1.
 0.9473093  0.         0.         1.         1.         1.
 1.         1.         0.         0.76835951 0.         1.
 0.78710598 1.         0.         0.80463368 1.         0.81577168
 1.         1.         1.         1.         1.         1.
 0.         1.         1.         1.         1.         0.93499417
 1.         0.7429504  0.         0.         1.         1.
 1.         0.59768105 0.46780464 0.         0.88047372 0.63452684
 1.         1.         0.20987604 1.         0.84112901 0.74269956
 1.         0.         1.         0.         1.         1.
 1.         1.         1.         1.         1.         0.39850175
 0.89508435 0.902971   0.         0.         1.         0.77882219
 1.         0.         1.         0.         1.         1.
 1.         1.         1.         0.         0.         1.
 1.         1.         0.45171588 1.         1.         1.
 0.53783564 0.46682596 0.74728668 1.         0.97032818 1.
 0.73079621 0.         1.         0.92377288 1.         1.
 0.84363048 1.         0.         1.         1.         1.
 1.         0.         1.         0.93028596 1.         0.
 1.         0.         1.         0.         1.         0.
 1.         0.70234706 1.         0.80451894 1.         1.
 0.         1.         1.         0.89799413 1.         0.
 0.87647284 1.         0.         0.68461863 0.        ]"
3,WHOLE,SBERT,UMAP,HDBSCAN,,25.0,55,"[0, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 1, 1, 0, 6, 0, 1, 1, -1, 1, 48, 0, -1, 1, 1, 6, 48, 1, 0, 0, 28, 0, 28, 0, 0, 0, -1, 0, -1, 1, 0, 0, 3, 0, -1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, -1, 2, 2, 22, 0, 34, 34, 34, -1, -1, -1, 11, 11, 11, 11, 11, 34, 11, -1, -1, 2, 12, 35, 0, 2, 53, 2, 22, 2, 2, 2, 21, 21, 35, -1, 53, 38, 38, -1, 52, -1, 26, 26, 7, 38, 26, -1, 35, 35, 38, 49, 28, 21, 7, 24, 24, -1, 2, -1, -1, 17, -1, -1, 30, 1, -1, -1, 41, 11, -1, -1, 13, -1, -1, 13, 13, 4, 5, 5, 41, -1, 39, 3, 20, 20, 20, -1, 7, 7, 9, 44, 44, 44, 13, 13, -1, -1, 7, 13, 13, 28, 7, 24, 24, 24, 7, 28, 3, 5, 5, 4, 4, 4, -1, -1, 5, 37, 4, 5, 5, -1, 5, 5, 5, 9, -1, 7, -1, 49, 49, 7, 22, 2, 12, -1, 5, 14, 2, 9, 11, 5, 4, -1, 9, -1, -1, -1, -1, 5, -1, 4, 0, 12, -1, 36, 17, -1, 9, -1, 9, -1, 22, 6, 6, 5, 43, 22, 37, 22, 37, -1, -1, -1, -1, 36, 37, 42, 3, -1, -1, 3, 5, -1, 13, 23, 20, -1, -1, 50, 3, 3, 3, 39, -1, -1, -1, 4, -1, 4, 1, 2, -1, 4, -1, 17, 17, 4, 4, 4, 4, 3, -1, 20, 17, 36, 2, -1, -1, 6, -1, -1, -1, 3, 3, 41, 39, -1, -1, 2, 6, 9, -1, 43, 21, 9, 7, 7, -1, -1, 30, 30, -1, -1, 10, -1, 23, -1, 8, -1, 10, -1, 3, 14, 18, 18, -1, -1, -1, 1, 17, 18, 10, -1, 14, 15, 3, -1, 10, 8, -1, -1, 10, 10, -1, -1, 23, 15, 23, -1, 39, 15, -1, 23, 10, 50, -1, 10, 36, -1, 4, 8, 8, -1, 30, 18, 18, 8, 14, 14, -1, 14, 8, 8, 8, 29, 29, 29, 29, 8, 8, 29, 15, 15, 18, 15, -1, 14, 15, 6, 3, 16, -1, -1, 33, -1, 52, 45, 12, 12, 51, 47, 27, 45, 43, -1, -1, 27, 19, -1, -1, 51, -1, -1, 26, 26, -1, 19, -1, 27, 27, 33, 45, -1, -1, 47, -1, -1, -1, -1, 32, 19, 31, 47, -1, 27, 12, -1, -1, -1, 6, -1, 48, 12, 40, -1, 2, 25, -1, -1, 33, 6, -1, -1, 25, 25, 6, -1, 6, 6, 6, -1, 21, 19, 21, 33, 19, 19, 31, -1, -1, 31, -1, 12, 16, 40, 16, 46, 32, -1, 54, 46, 32, 46, 32, 31, -1, 20, 16, 25, 3, 25, 1, 16, 16, -1, 6, 40, 42, -1, 42, 3, 16, 54, -1, -1, 1, 2]","[1.         0.94947762 0.         1.         0.77596633 1.
 1.         1.         1.         0.8756085  1.         0.
 1.         0.78466365 1.         1.         0.7983061  0.
 0.99548005 0.76314528 1.         0.43776958 1.         1.
 1.         0.44849148 1.         0.90381144 1.         0.
 1.         1.         1.         0.         1.         1.
 0.71786664 1.         0.7817316  1.         1.         1.
 1.         0.89296775 1.         1.         0.83294305 0.
 1.         0.         1.         1.         1.         1.
 0.86508125 0.         1.         1.         1.         0.66075964
 0.56338582 1.         1.         1.         1.         1.
 0.         0.9086954  1.         1.         1.         0.78464006
 1.         1.         0.         0.         0.         1.
 1.         0.55794935 0.79898627 1.         1.         0.83244008
 0.         0.         0.79913917 0.80947492 1.         1.
 1.         1.         0.49360766 0.62039872 1.         1.
 0.74732542 1.         0.82062871 1.         0.         1.
 1.         1.         0.         1.         0.         1.
 0.77469321 1.         1.         1.         0.         1.
 0.88779473 0.78388956 1.         0.90286658 1.         0.79086099
 0.66500796 1.         0.         0.42487041 0.         0.
 1.         0.         0.         0.92730605 1.         0.
 0.         1.         0.71828974 0.         0.         0.76806163
 0.         0.         1.         0.90097295 1.         1.
 1.         1.         0.         1.         0.83522794 1.
 0.89534055 0.89534055 0.         1.         1.         0.87316536
 1.         1.         1.         0.96343043 0.83145284 0.
 0.         0.91719067 1.         0.99804898 1.         1.
 1.         1.         0.97856512 0.98759181 0.90294311 1.
 1.         1.         1.         1.         1.         0.
 0.         1.         1.         1.         1.         1.
 0.         1.         0.89458693 1.         0.56153435 0.
 0.88408188 0.         1.         1.         0.77444438 0.55014335
 1.         0.82214594 0.         1.         1.         1.
 1.         0.74663521 0.73971973 1.         0.         1.
 0.         0.         0.         0.         1.         0.
 1.         0.78100686 0.79202894 0.         1.         0.68834488
 0.         0.61218384 0.         0.85130137 0.         1.
 0.71786664 0.83867206 0.78274973 1.         1.         0.79281348
 0.53618806 1.         0.         0.         0.         0.
 0.87162274 0.80265255 1.         1.         0.         0.
 1.         0.80986004 0.         0.78803133 0.61377795 1.
 0.         0.         1.         0.94943523 1.         1.
 0.83971774 0.         0.         0.         1.         0.
 1.         1.         0.82588213 0.         1.         0.
 0.80214203 1.         1.         1.         1.         0.9665504
 1.         0.         1.         0.81054059 1.         1.
 0.         0.         0.90419902 0.         0.         0.
 1.         1.         1.         0.8140877  0.         0.
 1.         1.         0.85130137 0.         1.         1.
 0.59195529 1.         1.         0.         0.         1.
 1.         0.         0.         0.27811342 0.         1.
 0.         0.72090642 0.         1.         0.         1.
 0.85773668 0.97804533 1.         0.         0.         0.
 0.89282273 0.91406585 0.82868111 1.         0.         0.84238254
 0.88257217 1.         0.         1.         0.7110102  0.
 0.         0.72581856 0.55940215 0.         0.         1.
 0.87403201 1.         0.         1.         1.         0.
 0.79347013 0.85008022 1.         0.         0.62272595 1.
 0.         1.         0.73635898 1.         0.         1.
 1.         0.83653488 0.77247619 1.         1.         0.
 0.85773668 0.8514521  1.         1.         0.77836917 0.77716842
 1.         1.         0.80948908 0.80948908 0.78459605 1.
 1.         1.         1.         0.         0.93761397 1.
 1.         1.         0.96785135 0.         0.         1.
 0.         1.         1.         0.99673701 1.         1.
 1.         1.         1.         1.         0.         0.
 0.67483123 1.         0.         0.         1.         0.
 0.         0.4671969  0.89050311 0.         0.9271069  0.
 0.98054803 1.         0.81008576 0.74980567 0.         0.
 1.         0.         0.         0.         0.         0.90048339
 0.54164274 0.70132173 1.         0.         1.         1.
 0.         0.         0.         0.48822798 0.         1.
 1.         1.         0.         1.         0.73943116 0.
 0.         1.         1.         0.         0.         0.44740671
 1.         0.78796931 0.         0.85257221 0.97366436 0.85257221
 0.         0.46970113 1.         0.48374279 1.         0.93984836
 0.66815425 1.         0.         0.         1.         0.
 0.80947492 1.         1.         0.87571924 1.         1.
 0.         1.         1.         1.         1.         0.95810114
 1.         0.         0.97918023 1.         1.         1.
 0.66178155 1.         0.99843934 1.         0.         0.83867206
 0.96020598 1.         0.         1.         0.92509134 1.
 1.         0.         0.         1.         1.        ]"
